fichier;temps..s.;x..m.;X.dx..m..1;y..m.;X.dy..m..1;z..m.;X.dz..m..1;fsigmax..Hz.;ID
C:/Users/barre/Documents/Postdoc_Chirolum/Papiers/PaysBas_trajecto/DATA/FILES_XLS/File_Y2018M7D10H23M0_1_646.xls;524.5888062;19.23582268;1.025430441;2.859170914;0.142276943;2.305242538;0.116484433;26720.44336;20180710_104_red67
C:/Users/barre/Documents/Postdoc_Chirolum/Papiers/PaysBas_trajecto/DATA/FILES_XLS/File_Y2018M7D10H23M0_1_646.xls;524.713623;18.30743027;0.98493576;2.92718935;0.15221265;2.488506556;0.125278115;30255.60742;20180710_104_red67
C:/Users/barre/Documents/Postdoc_Chirolum/Papiers/PaysBas_trajecto/DATA/FILES_XLS/File_Y2018M7D10H23M0_1_646.xls;524.8447876;18.00302505;0.766951621;3.091565371;0.124239437;2.648196697;0.108251028;26945.26172;20180710_104_red67
C:/Users/barre/Documents/Postdoc_Chirolum/Papiers/PaysBas_trajecto/DATA/FILES_XLS/File_Y2018M7D10H23M0_1_646.xls;524.9727783;17.22083282;0.69066155;3.207179308;0.120547667;2.671112537;0.103905141;29377.39063;20180710_104_red67
C:/Users/barre/Documents/Postdoc_Chirolum/Papiers/PaysBas_trajecto/DATA/FILES_XLS/File_Y2018M7D10H23M0_1_646.xls;525.1008301;16.36207962;0.56121403;3.362915039;0.112374827;2.619727135;0.097030744;32121.97656;20180710_104_red67
C:/Users/barre/Documents/Postdoc_Chirolum/Papiers/PaysBas_trajecto/DATA/FILES_XLS/File_Y2018M7D10H23M0_1_646.xls;525.2224121;21.36778831;0.910530388;4.330652237;0.173259258;4.359341145;0.175442338;26606.26172;20180710_104_red67
C:/Users/barre/Documents/Postdoc_Chirolum/Papiers/PaysBas_trajecto/DATA/FILES_XLS/File_Y2018M7D10H23M0_1_646.xls;525.3408203;17.6020565;0.549429893;4.026319981;0.118529268;3.66063261;0.117204271;32573.6582;20180710_104_red67
C:/Users/barre/Documents/Postdoc_Chirolum/Papiers/PaysBas_trajecto/DATA/FILES_XLS/File_Y2018M7D10H23M0_1_646.xls;525.4624023;13.61931705;0.347129166;3.606077194;0.079585485;2.719419956;0.080674894;26947.67578;20180710_104_red67
C:/Users/barre/Documents/Postdoc_Chirolum/Papiers/PaysBas_trajecto/DATA/FILES_XLS/File_Y2018M7D10H23M0_1_646.xls;525.5839844;12.669837;0.261592299;3.59509325;0.06776429;2.843873262;0.07255926;30567.2832;20180710_104_red67
C:/Users/barre/Documents/Postdoc_Chirolum/Papiers/PaysBas_trajecto/DATA/FILES_XLS/File_Y2018M7D10H23M0_1_646.xls;525.7056274;11.68339348;0.218417466;3.581059456;0.062737666;3.006056309;0.070248887;28102.67383;20180710_104_red67
C:/Users/barre/Documents/Postdoc_Chirolum/Papiers/PaysBas_trajecto/DATA/FILES_XLS/File_Y2018M7D10H23M0_1_646.xls;525.8303833;12.42033386;0.260324329;4.032081127;0.072189659;3.435133696;0.084867686;29940.47852;20180710_104_red67
C:/Users/barre/Documents/Postdoc_Chirolum/Papiers/PaysBas_trajecto/DATA/FILES_XLS/File_Y2018M7D10H23M0_1_646.xls;525.9552002;9.76143837;0.127654299;3.591226339;0.042752869;3.48543644;0.058846388;27489.35742;20180710_104_red67
C:/Users/barre/Documents/Postdoc_Chirolum/Papiers/PaysBas_trajecto/DATA/FILES_XLS/File_Y2018M7D10H23M0_1_646.xls;526.0831909;8.883263588;0.10679438;3.635013342;0.037682183;3.773923635;0.053395372;28116.13867;20180710_104_red67
C:/Users/barre/Documents/Postdoc_Chirolum/Papiers/PaysBas_trajecto/DATA/FILES_XLS/File_Y2018M7D10H23M0_1_646.xls;526.4703979;6.231211662;0.04200311;4.066610336;0.023960944;4.674121857;0.043144956;26160.36133;20180710_104_red67
C:/Users/barre/Documents/Postdoc_Chirolum/Papiers/PaysBas_trajecto/DATA/FILES_XLS/File_Y2018M7D10H23M0_1_646.xls;526.5983887;5.356380463;0.025804304;4.200597286;0.020537719;4.899008751;0.033928242;27505.83789;20180710_104_red67
C:/Users/barre/Documents/Postdoc_Chirolum/Papiers/PaysBas_trajecto/DATA/FILES_XLS/File_Y2018M7D10H23M0_1_646.xls;527.2512207;0.992817461;0.00511933;4.754537582;0.015029648;5.76855135;0.027280275;28052.49219;20180710_104_red67
C:/Users/barre/Documents/Postdoc_Chirolum/Papiers/PaysBas_trajecto/DATA/FILES_XLS/File_Y2018M7D10H23M0_1_646.xls;527.3632202;0.26288709;0.003956946;4.67447567;0.014697393;5.989972591;0.025578368;27609.12305;20180710_104_red67
C:/Users/barre/Documents/Postdoc_Chirolum/Papiers/PaysBas_trajecto/DATA/FILES_XLS/File_Y2018M7D10H23M0_1_646.xls;527.4783936;-0.439241588;0.006706015;4.441998005;0.017457154;6.19143343;0.02581222;27274.79297;20180710_104_red67
C:/Users/barre/Documents/Postdoc_Chirolum/Papiers/PaysBas_trajecto/DATA/FILES_XLS/File_Y2018M7D10H23M0_1_646.xls;539.142395;-0.396761179;0.00201554;-1.906085014;0.003414981;0.87201643;0.01484054;40064.09375;20180710_104_red67
C:/Users/barre/Documents/Postdoc_Chirolum/Papiers/PaysBas_trajecto/DATA/FILES_XLS/File_Y2018M7D10H23M0_1_646.xls;584.3200073;1.296851635;0.000705563;12.80105114;0.083529145;11.00763988;0.07349474;21566.76367;20180710_104_red67
C:/Users/barre/Documents/Postdoc_Chirolum/Papiers/PaysBas_trajecto/DATA/FILES_XLS/File_Y2018M7D10H23M0_1_646.xls;599.4879761;-0.399403632;0.002075844;-1.905717254;0.003591057;0.864583135;0.014821339;40079.30078;20180710_104_red67
C:/Users/barre/Documents/Postdoc_Chirolum/Papiers/PaysBas_trajecto/DATA/FILES_XLS/File_Y2018M7D10H23M0_1_646.xls;658.9887695;-0.396401674;0.002014558;-1.904534459;0.003413822;0.866057515;0.014900567;40044.10938;20180710_104_red67
